model_type,beta,ticker,market_impact,total_return,sharpe_ratio,max_drawdown,ann_volatility
"Robust RL (Elliptic, p1N2)",0.0001,META,no,12.4707,1.2968,-10.0336,26.4672
"Robust RL (Elliptic, p1N2)",0.0001,META,with,9.8648,1.0556,-11.1309,26.7498
"Robust RL (Elliptic, p1N2)",0.0001,MSFT,no,4.3049,0.7763,-5.8953,15.8883
"Robust RL (Elliptic, p1N2)",0.0001,MSFT,with,-8.9913,-0.8999,-16.9712,24.0951
"Robust RL (Elliptic, p1N2)",0.0001,SPY,no,1.1392,0.2433,-16.6954,24.1294
"Robust RL (Elliptic, p1N2)",0.0001,SPY,with,1.1365,0.243,-16.645,24.0484
"Robust RL (Elliptic, p1N2)",0.001,META,no,-20.3823,-1.3483,-30.4768,38.5926
"Robust RL (Elliptic, p1N2)",0.001,META,with,-23.8427,-1.6099,-32.2295,39.3504
"Robust RL (Elliptic, p1N2)",0.001,MSFT,no,0.7052,0.2237,-14.0938,33.755
"Robust RL (Elliptic, p1N2)",0.001,MSFT,with,0.6903,0.2226,-14.1068,33.7882
"Robust RL (Elliptic, p1N2)",0.001,SPY,no,-5.2326,-0.9174,-13.648,14.2778
"Robust RL (Elliptic, p1N2)",0.001,SPY,with,5.6373,0.9405,-11.1297,16.7724
"Robust RL (Elliptic, p1N2)",0.01,META,no,-21.4342,-1.6871,-24.7267,33.9908
"Robust RL (Elliptic, p1N2)",0.01,META,with,-25.9696,-2.0416,-28.4542,35.4507
"Robust RL (Elliptic, p1N2)",0.01,MSFT,no,-5.2369,-0.9078,-12.2133,14.4056
"Robust RL (Elliptic, p1N2)",0.01,MSFT,with,-8.185,-1.4659,-13.7182,14.5607
"Robust RL (Elliptic, p1N2)",0.01,SPY,no,0.2932,0.1389,-9.67,20.1522
"Robust RL (Elliptic, p1N2)",0.01,SPY,with,1.025,0.2338,-9.3324,20.0293
"Robust RL (Ball, p1)",0.0001,META,no,-8.0488,-0.6487,-20.5391,27.8749
"Robust RL (Ball, p1)",0.0001,META,with,-10.3419,-0.8655,-21.9821,28.3757
"Robust RL (Ball, p1)",0.0001,MSFT,no,-12.4898,-1.843,-13.0187,18.0975
"Robust RL (Ball, p1)",0.0001,MSFT,with,-16.1893,-2.4048,-16.5763,18.5428
"Robust RL (Ball, p1)",0.0001,SPY,no,-3.0649,-0.4369,-9.0779,15.8087
"Robust RL (Ball, p1)",0.0001,SPY,with,-1.0945,-0.1108,-8.1553,15.3457
"Robust RL (Ball, p1)",0.001,META,no,12.2051,0.9589,-16.9697,39.43
"Robust RL (Ball, p1)",0.001,META,with,5.935,0.5715,-19.2594,40.3653
"Robust RL (Ball, p1)",0.001,MSFT,no,0.324,0.1316,-9.0734,15.2727
"Robust RL (Ball, p1)",0.001,MSFT,with,-1.1875,-0.1271,-9.6657,15.3939
"Robust RL (Ball, p1)",0.001,SPY,no,1.5233,0.2841,-16.5067,24.4087
"Robust RL (Ball, p1)",0.001,SPY,with,1.5182,0.2837,-16.4545,24.323
"Robust RL (Ball, p1)",0.01,META,no,45.5042,2.7502,-5.8573,38.3379
"Robust RL (Ball, p1)",0.01,META,with,42.3633,2.5676,-6.0525,38.9002
"Robust RL (Ball, p1)",0.01,MSFT,no,-8.4316,-1.0291,-19.1524,20.4259
"Robust RL (Ball, p1)",0.01,MSFT,with,-10.9203,-1.3578,-20.7347,20.7514
"Robust RL (Ball, p1)",0.01,SPY,no,-0.0783,0.0888,-13.6058,19.9416
"Robust RL (Ball, p1)",0.01,SPY,with,0.9738,0.2269,-13.7046,19.8144
