,ret,AUM,ret_spy,AUM_SPX
2022-06-09,,100000.0,,
2022-06-10,0.014046315999999956,101404.6316,-0.045815,95418.5
2022-06-13,0.007783963982173798,102193.9616,-0.064419,89271.73564849999
2022-06-14,0.0,102193.9616,-0.003227,88983.65575756229
2022-06-15,0.0,102193.9616,0.034325,92038.0197414406
2022-06-16,-0.010354623535800037,101135.78159999999,-0.050074,87429.3079409077
2022-06-17,-0.008906708246569825,100234.99469999998,0.017841,88989.13422388144
2022-06-21,0.010681720522902343,101305.67689999998,-0.040858,85353.2161777621
2022-06-22,0.0,101305.67689999998,-0.007641,84701.03225294781
2022-06-23,-0.002114057242926308,101091.51089999998,0.018608,86277.14906111067
2022-06-24,0.011162856207741203,102219.98089999998,0.071874,92478.23287272894
2022-06-27,0.0,102219.98089999998,-0.003937,92114.14606990901
2022-06-28,0.011026366763877927,103347.09589999997,-0.05198,87326.05275719514
2022-06-29,0.0,103347.09589999997,0.020289,89097.81104158587
2022-06-30,-0.0008848821459723761,103255.64589999996,-0.016409,87635.80506020448
2022-07-01,-0.004116385077980588,102830.60589999995,-0.007566,86972.75255911898
2022-07-05,0.015555446610472567,104430.18189999995,0.050991,91407.58018486101
2022-07-06,0.0,104430.18189999995,0.009394,92266.26299311759
2022-07-07,0.0,104430.18189999995,0.014255,93581.51857208446
2022-07-08,0.0,104430.18189999995,-0.007608,92869.55037878806
2022-07-11,-0.0010923566149606222,104316.10689999994,-0.046817,88521.67663870433
2022-07-12,0.0,104316.10689999994,0.002394,88733.5975325774
2022-07-13,0.0,104316.10689999994,0.001347,88853.12168845379
2022-07-14,-0.0010686182921576337,104204.63279999993,-0.033274,85896.62291739217
2022-07-15,0.0015263985460730375,104363.69059999993,0.042075,89510.72332664146
2022-07-18,-0.01142078430867614,103171.77539999991,0.015361,90885.697547662
2022-07-19,0.011468252779529113,104354.97539999991,0.051127,95532.41060618129
2022-07-20,0.013973842592655154,105813.21539999991,0.041586,99505.22143364993
2022-07-21,0.0,105813.21539999991,0.000437,99548.70521541644
2022-07-22,-0.0013710952781423006,105668.13539999993,-0.075886,91994.35217143936
2022-07-25,-0.004173348931829519,105227.14539999992,-0.015478,90570.46358852982
2022-07-26,0.014658569270662688,106769.62479999992,-0.045005,86494.33987472803
