,Non-Robust RL,Momentum,Robust RL ($\ell_p$-Ball),Robust RL ($\ell_p$-Ellipse),MSFT
2022-05-09,99999.9782538534,100000.0,99999.94291157415,99999.61824554298,102263.65898945207
2022-05-10,99532.00861092757,100000.0,99242.1678455063,98040.04943148312,105755.93568522102
2022-05-11,101397.92421615688,100000.0,98671.38357904486,96101.17325882868,104645.83415636233
2022-05-12,101829.32901698316,100000.0,98760.08561935135,96452.8700482279,101323.43064828348
2022-05-13,101981.24714838126,100000.0,98143.64770976648,99415.23267609961,102816.73448425707
2022-05-16,101999.98022721348,100000.0,97283.25713127923,98645.85061775456,101461.69952198474
2022-05-17,102821.71482053744,100000.0,98500.62670323421,99535.84071896716,102548.09781535176
2022-05-18,102559.9430785953,100000.0,97549.11112863441,98608.38148273493,103839.92414964642
2022-05-19,103523.91052674211,100000.0,96608.30904252877,99098.60457305232,105167.3053371785
2022-05-20,103442.09170557294,100000.0,95613.576053606,98578.64078031456,106032.47343262352
2022-05-23,103095.01162307608,100000.0,95865.64326671502,98032.91886542903,105740.13352822658
2022-05-24,102974.75407258542,100000.0,96032.67580195057,98271.95532289142,104495.71366491521
2022-05-25,102668.91957005361,100000.0,96616.11352486699,99404.5141424513,100213.32911942476
2022-05-26,100048.57933839597,100000.0,98920.54924517215,103154.64750928622,99838.02789080706
2022-05-27,100245.57132080746,100306.34704340005,99167.52807372752,103430.62236732573,100375.30122861768
2022-05-31,100035.44771376924,101222.6202658913,98929.12968018156,103161.28464956755,101418.24359025004
2022-06-01,99385.6023769897,99646.97561394145,98021.73767494934,102424.88056253377,100442.46039584398
2022-06-02,99359.24372641239,99646.97561394145,98585.71289122089,103012.82053101057,102528.34511910871
2022-06-03,100139.90443100163,99646.97561394145,96662.42806168126,101725.38357124563,103610.79287322717
2022-06-06,100414.6946623296,99646.97561394145,95947.4171364177,101516.13754153356,104626.08146011927
2022-06-07,100043.74515417816,99646.97561394145,95118.88614986448,100629.82692504209,102856.23987674314
2022-06-08,99867.13333699373,99646.97561394145,95850.91512466797,102173.32549018505,102251.8073717062
2022-06-09,99399.33070938964,99657.89323907255,96275.27985461915,102780.0869359475,99514.08367242126
2022-06-10,100814.1551866062,99907.37311923517,95751.43017091922,104662.0112931523,106166.7917670762
2022-06-13,101237.07169828874,99756.59520114047,92025.72705892383,98700.19109419288,109196.85537075812
2022-06-14,98708.78860567696,99756.59520114047,90549.18180390263,99341.05411123123,110907.43886540513
2022-06-15,98972.72976460788,99815.79747455262,90475.20501740815,97808.23379804914,109828.9416505353
2022-06-16,98205.68094262682,99265.16822991743,91359.20501740815,98746.63315095073,108568.71963022953
