,Non-Robust RL,Momentum,Robust RL ($\ell_p$-Ball),Robust RL ($\ell_p$-Ellipse),SPY
2022-05-09,99999.94096638168,100000.0,99999.98908942821,99999.98017947166,100980.2612249259
2022-05-10,99599.38692613889,100000.0,99827.91234366145,100231.65394802182,104190.81706242154
2022-05-11,101517.77151307931,100000.0,100280.87233828954,98598.55805877806,103792.83634712466
2022-05-12,101807.68795130984,100000.0,100226.29490370087,98647.06930998758,101672.05320654933
2022-05-13,100825.60563884732,100000.0,101992.35212758886,100198.77239637527,101589.2518496755
2022-05-16,100786.43041553846,100000.0,102023.8864229215,100142.55554821598,100763.90929244907
2022-05-17,100217.30392450352,100000.0,102177.63579419392,100492.631643498,101829.64288576087
2022-05-18,100080.26732722158,100000.0,101938.70888488574,101227.8734601049,102021.95571462915
2022-05-19,100089.21783264761,100000.0,101783.41040555808,101079.55407524135,102366.51619968485
2022-05-20,99973.61664485595,100000.0,101632.39866535294,101259.04112853995,103899.67680760707
2022-05-23,99579.41756895414,100000.0,101564.83416044195,101557.4297572472,103814.20443922118
2022-05-24,99562.23133909964,100000.0,101560.12354971317,101547.74260881968,102628.27532786671
2022-05-25,98963.82877756192,100000.0,102510.5194004455,101877.7425611878,101720.13141376643
2022-05-26,98426.24026189742,100000.0,103149.6787789741,102122.5009679452,101185.9291113545
2022-05-27,98677.3962879914,101846.68331634776,103478.91275148868,102122.37235131397,100940.19605224502
2022-05-31,98653.70622164669,101381.59984619329,103363.61509095765,102265.24192967723,102868.66636395207
2022-06-01,98296.56357261688,101000.39216032214,101764.23904718479,101079.89498533469,102019.2847031171
2022-06-02,98961.34789245512,101903.85008846383,102289.8222290654,101154.52738860287,104775.76858356262
2022-06-03,100653.96706455422,101903.85008846383,100925.1270757964,100518.40543840913,105443.52146157752
2022-06-06,100493.8661375596,101903.85008846383,100957.94244207097,100312.62976506783,106517.2680894255
2022-06-07,100730.01314193456,101903.85008846383,100232.12082013657,100312.59461365937,105528.99382996344
2022-06-08,101557.07141870812,101903.85008846383,100728.72230055317,100606.97369566702,105657.20238254231
2022-06-09,101638.89800653412,102731.7265214672,100752.67972848489,100599.22739818654,104407.1689948984
2022-06-10,101847.60979927503,102359.68093286493,101188.59547341059,100524.93463211316,107118.24567963893
2022-06-13,102684.97000234292,102460.38389658966,102389.27357425664,101685.28427865994,108461.7644702049
2022-06-14,102394.38857086617,102460.38389658966,103366.21122217784,102301.51157227418,110043.0032853442
2022-06-15,101946.67949082018,101503.2147797873,104830.310858976,103178.73215292516,109717.13988087293
2022-06-16,102100.49939002868,100549.9743549482,104514.4107175651,103080.17398503143,108993.29576110478
2022-06-17,102703.11885013588,99418.97151461954,103895.40066697821,102792.62889590641,110700.07211731086
2022-06-21,103684.1880335488,99305.18042493917,105379.68902723407,102868.08624326068,110625.28379497318
2022-06-22,103688.2315273832,99305.18042493917,105362.13608041963,102850.08439513604,110438.312989129
2022-06-23,103641.56843027798,99305.18042493917,105251.86987976596,102807.85620199314,110310.10443655014
2022-06-24,103651.27352773651,100752.31802502245,105204.29784342856,102822.19710079285,109872.05854857236
2022-06-27,103432.2415504282,100609.36956443034,105086.49117445348,102813.73224091798,112179.81249499184
2022-06-28,101675.63044567,101808.30265525804,104044.42853698242,101935.23231020212,112179.81249499184
2022-06-29,101673.70946808632,101808.30265525804,104049.39719104167,101942.25561613322,114078.90168006622
2022-06-30,101356.29346541886,101218.33967911037,103033.617287449,102076.20559260676,114548.99970618873
2022-07-01,101577.6858107193,101218.33967911037,103339.07859977959,102113.95450811865,114773.36467320174
2022-07-05,101704.82180788448,101120.29397311888,103232.74956748929,102205.15237192938,113958.70616202355
2022-07-06,101540.32207136732,101120.29397311888,102577.93885646392,101921.09517353222,114289.91158951896
2022-07-07,101497.22572316037,100995.15224090182,102819.16341658021,101990.65932527496,112754.07997008468
2022-07-08,100724.40523255544,100995.15224090182,102188.49294440093,102092.84574352823,110406.26085098428
2022-07-11,101645.44751250125,100995.15224090182,102796.59805664065,101415.00788617202,110139.15969977832
2022-07-12,101617.05213657099,100995.15224090182,102665.96428435988,101389.99700753565,110491.7332193702
2022-07-13,101857.51747814438,100995.15224090182,102364.35730596202,101206.66909394422,112051.603942413
