,ret,AUM,ret_spy,AUM_SPX
2022-06-09,,100000000.0,,
2022-06-10,0.0157404547560467,101574045.47560467,-0.045815,95418500.0
2022-06-13,0.0,101574045.47560467,-0.064419,89271735.6485
2022-06-14,0.0,101574045.47560467,-0.003227,88983655.75756228
2022-06-15,0.0,101574045.47560467,0.034325,92038019.74144061
2022-06-16,0.0,101574045.47560467,-0.050074,87429307.9409077
2022-06-17,0.0,101574045.47560467,0.017841,88989134.22388144
2022-06-21,-0.03430680925845092,98089364.07186387,-0.040858,85353216.17776209
2022-06-22,0.0,98089364.07186387,-0.007641,84701032.25294782
2022-06-23,0.0,98089364.07186387,0.018608,86277149.06111068
2022-06-24,-0.044917349416610644,93683449.83179483,0.071874,92478232.87272894
2022-06-27,0.0,93683449.83179483,-0.003937,92114146.069909
2022-06-28,0.0,93683449.83179483,-0.05198,87326052.75719514
2022-06-29,0.0,93683449.83179483,0.020289,89097811.04158588
2022-06-30,0.0,93683449.83179483,-0.016409,87635805.06020449
2022-07-01,0.0,93683449.83179483,-0.007566,86972752.55911899
2022-07-05,-0.037907823507991864,90132114.14995134,0.050991,91407580.18486102
2022-07-06,0.0,90132114.14995134,0.009394,92266262.99311759
2022-07-07,0.0,90132114.14995134,0.014255,93581518.57208447
2022-07-08,0.0,90132114.14995134,-0.007608,92869550.37878805
2022-07-11,0.0,90132114.14995134,-0.046817,88521676.63870434
2022-07-12,0.0,90132114.14995134,0.002394,88733597.5325774
2022-07-13,0.0,90132114.14995134,0.001347,88853121.68845378
2022-07-14,0.0,90132114.14995134,-0.033274,85896622.91739218
2022-07-15,0.0,90132114.14995134,0.042075,89510723.32664146
2022-07-18,0.0,90132114.14995134,0.015361,90885697.54766199
2022-07-19,0.0,90132114.14995134,0.051127,95532410.6061813
2022-07-20,0.0,90132114.14995134,0.041586,99505221.43364994
2022-07-21,0.0,90132114.14995134,0.000437,99548705.21541645
2022-07-22,0.0,90132114.14995134,-0.075886,91994352.17143935
2022-07-25,0.0,90132114.14995134,-0.015478,90570463.58852981
2022-07-26,0.0,90132114.14995134,-0.045005,86494339.87472804
2022-07-27,0.0,90132114.14995134,0.065536,92162832.93275821
2022-07-28,0.0,90132114.14995134,-0.052247,87347601.40052038
2022-07-29,-0.007649532784856376,89442645.58779287,-0.01008,86467137.57840316
2022-08-01,0.0,89442645.58779287,0.005217,86918236.63514969
2022-08-02,0.0,89442645.58779287,0.001626,87059565.68791842
2022-08-03,0.0,89442645.58779287,0.053749,91738930.28407836
2022-08-04,0.0,89442645.58779287,0.010486,92700904.7070372
2022-08-05,0.0,89442645.58779287,-0.020285,90820466.85505494
2022-08-08,0.0,89442645.58779287,0.01879,92526983.42726144
2022-08-09,-0.0016510281380152003,89294973.26318891,-0.010103,91592183.31369583
2022-08-10,0.0,89294973.26318891,0.058209,96923672.71220274
2022-08-11,0.0,89294973.26318891,-0.004766,96461734.48805638
2022-08-12,0.0,89294973.26318891,0.016959,98097629.04323933
2022-08-15,0.0,89294973.26318891,0.002161,98309618.01960178
2022-08-16,0.0,89294973.26318891,-0.00785,97537887.5181479
2022-08-17,0.0,89294973.26318891,-0.025742,95027067.21765573
2022-08-18,-0.006577376939525377,88707646.56523208,-0.001087,94923772.79559015
2022-08-19,0.005722749270771249,89215298.1849251,-0.03836,91282496.87115131
2022-08-22,0.0,89215298.1849251,-0.029233,88614035.64011694
2022-08-23,0.0,89215298.1849251,-0.011898,87559705.84407085
2022-08-24,0.0,89215298.1849251,0.013345,88728190.11855997
2022-08-25,0.0,89215298.1849251,0.033811,91728178.9546586
2022-08-26,0.0,89215298.1849251,-0.041474,87923844.46069309
2022-08-29,0.0,89215298.1849251,-0.016133,86505369.07800873
2022-08-30,-0.020468911612222144,87389158.13191982,-0.012628,85412979.27729164
2022-08-31,0.0,87389158.13191982,0.036714,88548831.3984781
2022-09-01,0.0,87389158.13191982,0.014914,89869448.66995502
2022-09-02,0.0,87389158.13191982,-0.030479,87130317.74394347
2022-09-06,0.0,87389158.13191982,-0.011103,86162909.82603246
2022-09-07,0.0,87389158.13191982,0.011669,87168344.82079244
