ticker,strategy,market_impact,total_return,sharpe_ratio,max_drawdown,ann_volatility
META,Buy & Hold,—,-33.9864,-0.9869,-51.4604,62.8583
META,Momentum (Classical),no,-5.8976,-0.7686,-13.2613,14.4526
META,Momentum (Classical),with,-13.7883,-1.9556,-16.9948,14.6135
META,RL (Vanilla PPO),no,22.4399,1.8588,-8.641,23.4552
META,RL (Vanilla PPO),with,13.2106,1.1528,-13.6476,24.2633
META,"Robust RL (Elliptic, p1N2)",no,7.3257,0.5709,-25.3293,36.1497
META,"Robust RL (Elliptic, p1N2)",with,-2.6399,0.0458,-27.4549,38.3209
META,Robust RL (Dynamic Radius),no,43.9629,3.1117,-8.5014,24.604
META,Robust RL (Dynamic Radius),with,33.1918,2.3887,-10.99,25.5724
META,"Robust RL (Ball, p1)",no,-13.7874,-0.5127,-30.5625,41.1796
META,"Robust RL (Ball, p1)",with,-20.2848,-0.8323,-35.2531,43.2127
MSFT,Buy & Hold,—,-2.9922,0.0128,-26.9942,36.2123
MSFT,Momentum (Classical),no,5.0945,1.0233,-4.2274,10.224
MSFT,Momentum (Classical),with,-7.8047,-1.4496,-9.6827,10.8007
MSFT,RL (Vanilla PPO),no,-18.3955,-1.7481,-20.5989,22.0231
MSFT,RL (Vanilla PPO),with,-24.8977,-2.378,-26.9113,23.1094
MSFT,"Robust RL (Elliptic, p1N2)",no,-24.226,-1.9525,-32.107,26.7516
MSFT,"Robust RL (Elliptic, p1N2)",with,-31.5649,-2.5186,-38.2242,28.6558
MSFT,Robust RL (Dynamic Radius),no,9.1441,0.8106,-14.3238,25.9143
MSFT,Robust RL (Dynamic Radius),with,6.6724,0.628,-14.9385,26.2188
MSFT,"Robust RL (Ball, p1)",no,-1.7408,0.0476,-25.7196,31.852
MSFT,"Robust RL (Ball, p1)",with,-4.7547,-0.1415,-27.4136,32.4082
SPY,Buy & Hold,—,0.8928,0.1948,-17.0212,24.4999
SPY,Momentum (Classical),no,5.5211,0.8437,-7.4362,13.8655
SPY,Momentum (Classical),with,-1.4225,-0.1434,-10.3086,13.588
SPY,RL (Vanilla PPO),no,6.2509,0.776,-7.8111,17.7829
SPY,RL (Vanilla PPO),with,4.7317,0.6103,-8.5442,17.881
SPY,"Robust RL (Elliptic, p1N2)",no,-2.562,-0.1285,-11.9242,21.9452
SPY,"Robust RL (Elliptic, p1N2)",with,-3.037,-0.1724,-12.1565,21.9996
SPY,Robust RL (Dynamic Radius),no,2.6028,0.4036,-7.8822,16.0312
SPY,Robust RL (Dynamic Radius),with,0.2327,0.1105,-8.2497,16.2736
SPY,"Robust RL (Ball, p1)",no,2.8582,0.3975,-13.3654,18.6528
SPY,"Robust RL (Ball, p1)",with,1.4761,0.2508,-13.8201,18.7878
