,ret,AUM,ret_spy,AUM_SPX
2022-06-09,,100000000.0,,
2022-06-10,0.0,100000000.0,-0.028996,97100400.0
2022-06-13,0.0,100000000.0,-0.037968,93413692.0128
2022-06-14,0.0,100000000.0,-0.003013,93132236.55876543
2022-06-15,0.0,100000000.0,0.014256,94459929.72314718
2022-06-16,0.0,100000000.0,-0.033096,91333683.8890299
2022-06-17,-0.003811744192353599,99618825.58076464,0.002146,91529685.97465576
2022-06-21,0.0,99618825.58076464,0.025174,93833854.28938174
2022-06-22,0.0,99618825.58076464,-0.001813,93663733.5115551
2022-06-23,0.000712429140945364,99689796.93509513,0.009803,94581919.09116888
2022-06-24,0.0,99689796.93509513,0.031794,97589056.62675351
2022-06-27,0.0,99689796.93509513,-0.00382,97216266.43043931
2022-06-28,-0.026676046567139518,97030467.26978585,-0.020433,95229846.45846614
2022-06-29,0.0,97030467.26978585,-0.000814,95152329.36344895
2022-06-30,0.0,97030467.26978585,-0.008124,94379311.83970028
2022-07-01,0.0,97030467.26978585,0.010577,95377561.8210288
2022-07-05,0.0,97030467.26978585,0.001889,95557730.03530873
2022-07-06,0.0,97030467.26978585,0.003377,95880428.48963796
2022-07-07,0.006265732638675221,97638434.23550406,0.014977,97316429.66712727
2022-07-08,0.0,97638434.23550406,-0.000823,97236338.24551122
2022-07-11,0.0,97638434.23550406,-0.011424,96125510.31739451
2022-07-12,0.0,97638434.23550406,-0.008849,95274895.67659588
2022-07-13,0.0,97638434.23550406,-0.005252,94774511.9245024
2022-07-14,0.0,97638434.23550406,-0.002428,94544399.40954971
2022-07-15,0.0031422394903871526,97945237.57933843,0.019105,96350670.16026916
2022-07-18,0.0,97945237.57933843,-0.008257,95555102.67675582
2022-07-19,0.0,97945237.57933843,0.027019,98136905.99597907
2022-07-20,0.0,97945237.57933843,0.006373,98762332.49789144
2022-07-21,0.0,97945237.57933843,0.010183,99768029.32971747
2022-07-22,0.0,97945237.57933843,-0.009278,98842381.55359636
2022-07-25,0.0,97945237.57933843,0.001215,98962475.04718398
